Timestamp,What is your job description at MIT?,What is your department/institute?,What is your current funding status?,Are you currently a parent?,Are you the birthing parent?,How many children do you have?,Has your position at MIT and/or MIT policies on childcare and parental leave influenced your decision on whether or not you will have children while a postdoc at this university?,Is your child enrolled at an MIT daycare?,[If applicable] How long were you/have you been on the waitlist for an MIT daycare center?,Would a spot at an MIT childcare center be your top choice? (above and beyond non-MIT childcare centers),"If you took parental leave: how long?
If you plan on taking parental leave: how long?",What percentage of your parental leave was paid?,"As a family, do you feel financially secure to support all of your needs?","Does your family (parents, siblings etc.) offer you any support, either financially or by helping you out at home?","On a scale of 1-5, how supportive has your PI been during your pregnancy [if applicable] and leave?","On a scale of 1-5, how supportive has MIT been during your pregnancy [if applicable] and leave?",What policies could MIT adopt that would make your life as a parent or parent-to-be easier?,Is there anything else you would like MIT leadership to know about being a postdoc parent or parent-to-be at MIT?
4/27/2023 13:46:45,Postdoctoral Associate,BCS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,"Yes. I delayed having my baby until 39 years old because of career, poor maternity leave policy, and difficulty obtaining childcare. This issue is partly due to draconian US leave policies, and partly due to MIT not doing much to help this. Finally, when I had my baby I took an unpaid break from career immediately following the 4 month paid leave from MIT, until baby was 1 year old. Honestly, it is impossible for a women to have a healthy baby with less than 9 month maternity leave. The alternative is formula feeding and daycare for a newborn infant -- I do not think this is a real, feasible alternative -- this is a recipe for setting up a little person with a lifetime of health issues and social insecurity. ",No,,Yes,"4 month paid, then unpaid break from working for 8 month and I am still not back to work",4,No,Yes - they offer financial support,4,3,"1. Daycare cost has to be made affordable for postdocs, including single parent postdocs if you really mean to be inclusive. 2. Maternity leave needs to be 12 month. I'm ok with it being partially paid, but there needs to be an official opportunity to take an adequate leave. Even in the US some companies in industry support this, not to mention all developed countries other than USA. 3. Child friendly breastfeeding policy, meaning it is ok to breastfeed anywhere on campus. 4. Flexible remote work policy for new parents of an infant < 1 year, including international remote work.","Most MIT postdocs are men. For a dad a parental leave of 4 month is generous. For a mother it is near-impossible to sustain because of the scheduling commitment when brestfeeding a baby. Babies breastfeed at least 5 times during the day until they are at least 1 year old. They continue to breastfeed past one year, but the schedule becomes more flexible. Some people (mostly men, or folks without children) believe there is a solution, which is pumping breasts every 3 hours and going to work with a fridge to carry pumped milk home, so that it can be frozen and defrosted to give to the baby as needed. However, this method is actually more time-consuming than direct breastfeeding, because it adds pumping time, and cleaning time, in addition to feeding time. It also ruins milk quality, as it looses nutrition, hormones, enzymes, and antibodies when stored, and babies rely on mothers hormones and protein factors to regulate their circadian rhythm, digestion, and growth. Mothers who pump do not get more work done, but they might look like they work more. Adequate leave and breastfeeding support for mums are essential."
4/27/2023 14:17:24,Postdoctoral Associate,Biology,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,No,,,4 weeks,,Yes,Yes - they help out at home,3,4,Longer parental leave for non-birthing would be helpful,
4/27/2023 14:34:16,Postdoctoral Associate,EAPS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,Yes,No,longer than 12 months,Yes,,10,No,Yes - they help out at home,,,"Having a place at the MIT crèche will help a lot, as the rates are lower for postdocs than anywhere else, unfortunately postdocs are not given priority and the waiting list is almost two years!",Having a child in the Boston area is incredibly expensive and the salary at MIT does not allow for a comfortable position as a parent. 
4/28/2023 6:45:32,Postdoctoral Fellow,MIT ,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,no,Yes,1-3 months,Yes,don't know,,No,No,,,,
4/28/2023 15:19:26,Postdoctoral Associate,LNS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Yes,0,Yes,,,,One semester,,No,,,,"Parental leave for each parent, cheaper childcare","Childcare is expensive, parental leave too short "
5/4/2023 14:21:12,Postdoctoral Fellow,EAPS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,Yes,Currently on waitlist,4-6 months,No,4 weeks,10,No,No,4,3,Make daycare affordable,"1 bedroom apartment in the Boston area is around $2500-$3000, 5-days daycare at MIT is $3000. Life of a postdoc (even with a partner who is working) is miserable. "
5/5/2023 17:58:45,Postdoctoral Fellow,Civil and Environmental Engineering,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,Not applicable,0,"I don't feel that I have clarity on the safety issues regarding working in a lab while pregnant, which makes me hesitant to even consider this as a postdoc. See this recent article on the topic: https://pubs.acs.org/doi/10.1021/jacs.1c03725",,,,,,,,,,,
5/12/2023 8:56:55,Postdoctoral Associate,Chemical Engineering,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Yes,0,No,,,,,,,,,,,
5/12/2023 9:00:47,Postdoctoral Associate,Physics,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,No,0,No,,,,,,,,,,,
5/12/2023 9:02:28,Postdoctoral Associate,Civil and Environmental Engineering,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,2,yes,Yes,4-6 months,Yes,Was before I came to MIT,,No,Yes - they help out both financially and at home,,,Cheaper childcare,It is impossible  to pay rent and childcare for two kids with two working parents!
5/12/2023 9:02:41,Postdoctoral Fellow,Mechanical Engineering,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,No,1,I was a parent before joining MIT.,Yes,1-3 months,Yes,I took 4 weeks.,100,No,Yes - they offer financial support,5,3,"The current wages make it very hard to be a parent, especially for people who relocate from abroad and whose partner may not be able to work (Visa restrictions, job-specific license requirements,...). ",
5/12/2023 9:03:48,Postdoctoral Associate,Laboratory for Information and Decision Systems ,Combination of Both,Yes,No,2,No,No,,Yes,3 weeks ,80,Yes,No,5,4,Support for the daycare of postdoc's children even when their spouse is not working or fully enrolled in a school.,"Foreign postdocs don't have their families to help them with a newborn or take care of the other child when there is a new baby. Especially now, it is difficult to take care of both. The older child needs to go to a daycare, but it's very expensive."
5/12/2023 9:05:12,Postdoctoral Associate,IMES/CEHS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,"Yes- healthcare, parental leave and childcare policies at MIT made it financially possible for me to have one child",Yes,less than one month,Yes,"4 months continuous, plus one month working 3 days a week",100,Yes,No,4,5,"
Extend parental leave for birthing parents to 6 months to better support breastfeeding and cultivate a culture that supports parents taking their full eligible leave",
5/12/2023 9:06:45,Postdoctoral Associate,Chemistry,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,no,,,,,,,,,,,
5/12/2023 9:08:45,Postdoctoral Associate,Music and Theater Arts ,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,"Yes, I am not sure I can afford to have a baby while being a postdoc ",,,,,,,,,,,
5/12/2023 9:11:51,Postdoctoral Fellow,Civil and Environmental Engineer,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,Not applicable,0,No,,,,,,,,,,,
5/12/2023 9:13:48,Postdoctoral Associate,BE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,Yes,No,,Yes,4 month,,No,Yes - they help out at home,,,I think it is a individual problem depending very on the PI if she/he is family friendly. ,
5/12/2023 9:16:47,Postdoctoral Associate,Physics/LNS,Combination of Both,I'm expecting / My partner is expecting a baby,No,1,"No, we always wanted to have children.",Currently on waitlist,4-6 months,Yes,6 months,50,No,Yes - they help out both financially and at home,2,2,"Offer full paid leave beyond 4 weeks (the Boston rent and living cost don't vanish after 4 weeks...); offer proper financial support for childcare (with two postdoc salaries, one is already above the maximum income eligible for financial support)","Leadership should understand that the student and postdoc years are the healthiest for women to give birth. However, without proper support, you push women into having children at later stages of their careers (thus toward far higher risk for mom and child) since it is so financially worrisome without proper full pay during parental leave and the excessive cost of child support and rent in Boston. Besides, the definition of maternity leave at the beginning of this form is incorrect. MIT requires taking paid sick days in order to receive pay at 100% during maternity leave!"
5/12/2023 9:17:59,Postdoctoral Fellow,DCM,Combination of Both,No,Not applicable,0,No,,,,,,,,,,,
5/12/2023 9:29:05,Postdoctoral Associate,Physics,Combination of Both,No,Not applicable,0,no,,,,,,,,,,,
5/12/2023 9:30:45,Postdoctoral Fellow,Media Lab,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",I'm expecting / My partner is expecting a baby,No,0,No,No,,Yes,20,,No,No,4,2,,
5/12/2023 9:31:07,Postdoctoral Associate,Biological engineering/MIT,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,Yes,,,,,,,,,,,Longer paid leave is needed. 3-5 mo babies should not be going to daycare. 
5/12/2023 9:35:42,Postdoctoral Associate,political science,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,"Yes. Given the precariousness of my position as a post-doc at MIT and lack of job prospects I don't feel that having a child in the near future will be possible for my partner and I. Given my age and the age that I will therefore have to be when I do have children, I think MIT should provide more financial support to people like myself that would like to take advantage of cryopreservation/ fertility preservation options. This should be part of the conversation about what it means to support parents. I am concerned that I won't ever get to be a parent. ",,,,,,,,,,Support people who want to be parents in the future through fertility preservation options. ,
5/12/2023 9:42:01,Research Scientist,Media Lab,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,No,0,not to a significant degree,,,,,,,,,,,
5/12/2023 9:42:07,Postdoctoral Fellow,PILM,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,No,3,yes,,,Yes,,,No,No,,,Financial support for a parent or parent-to-be. And also financial support for PIs to hire more technicians if their postdocs are pregnant.,
5/12/2023 9:43:29,Postdoctoral Associate,CSAIL ,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,No,0,I wish I could use daycare at Stata center. I've heard that waiting time to get a slot is terrible but I haven't had a chance to look into it yet.,No,,Yes,,,,,,,,
5/12/2023 9:47:13,Postdoctoral Associate,MIT Media Lab,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,2,"Not really, but the medical resources, childcare support, and career safety of positions in a lab (the lab PI had not been responsive for months and at the very last second noticed the closure of the lab so that not continue my spouse’s contract when she was in pregnancy of our 2nd child) do influence our decision of “whether or not” and “how many”",No,,Yes,"I want to add a point on my child’s MIT Daycare: My child was in MIT TCC daycare, but we very sadly need to terminate her daycare/frienship due to the reason of financial hardship we are still facing due to the unemployment of my spouse due to the lab closure and her pregnancy/birth of our 2nd child.  In case without fanatical and employment issues, the length of parental leave is a minor issue for us. ",100,No,No,1,3,Clarify a point: The PI mentioned above in my answer regarding the supportive was our previous lab PI at MIT who is no longer at MIT.,"Please refer to my answers I filled above.  We have sought support from MIT hardship fund and MyLife services, but hope to be more protected (e.g. a longer-term/not-one-time support working with us to pass the hardship).  Hope these efforts of struggling can instead be used on our exciting research and family time."
5/12/2023 9:48:09,Postdoctoral Associate,McGovern,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,No,,No,,,No,No,3,,Higher pay,"I am a MD/PhD, so my point of comparison for postgraduate benefits is often resident physician trainees in the area. A first year resident at MGH/Brigham will make 80k, + a 10k childcare stipend. I believe this is the more reasonable approximation of how much it costs to live in Boston while working 60+ hours per week and providing childcare during those hours. Also consider that because universities have increased tuition more than 5X the rate of inflation in the last few decades, my monthly debt payment to my previous universities is 1000 dollars, which significantly cuts into the money I have available for childcare and other expenses as a postdoc."
5/12/2023 9:52:12,Postdoctoral Associate,Brain and Cognitive Sciences,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,"I do not think I want children; however, if I did, I'm sure this would be a huge factor.",,,,,,,,,,,
5/12/2023 9:54:21,Postdoctoral Associate,DMSE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,,0,Yes.,,,,,,,,,,,
5/12/2023 9:55:46,Postdoctoral Fellow,BCS,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,Yes,0,yes,,,,,,,,,,,
5/12/2023 10:04:42,Research Scientist,Physics/LNS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,No,,Yes,"Took 4 weeks, another 8 in summer",100,Yes,No,5,5,"Longer leaves, full pay, shorter waitlist in daycare, intermittent day care, short notice day care, babysitter list (approved for portable care subsidy)",
5/12/2023 10:08:27,Postdoctoral Associate,Department of Chemistry,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Yes,0,"Yes. For my partner and me it is unimaginable to support a child with current post-doc salaries. Considering the long waiting lists to get the childcare, we would have to give one of our salaries to the person taking care of a child. ",,,,,,,,,,,
5/12/2023 10:11:57,Postdoctoral Fellow,Physics,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",I'm expecting / My partner is expecting a baby,Yes,0,No,Currently on waitlist,4-6 months,Yes,12 weeks,90,No,No,5,3,"Pregnancy parking accommodations, better/expanded scholarships for MIT TCC daycare",The process for setting up leave was very stressful and dragged on late into the pregnancy. Some training on leave filing/policies for HR staff would be highly beneficial. 
5/12/2023 10:12:10,Postdoctoral Fellow,Biology,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,No,2,Somewhat ,Yes,longer than 12 months,Yes,2 weeks,100,No,Yes - they offer financial support,4,3,Help make childcare remotely affordable ,"Postdoc parents are grateful for the excellent care at TCC (and convenient on campus locations), the MIT childcare scholarship, and the new portable childcare benefit. However, even with these supports, childcare in the Cambridge/Boston area remains perilously unaffordable on a postdoc salary. Annual costs for childcare (e.g. 3k / month for an infant and 2 k / month for a preschooler = 60 k annually) can easily EXCEED a postdoc's ENTIRE net annual income, and are the highest in the country by a wide margin. Families with children also face increased housing costs (i.e. requiring a two bedroom apartment) in a difficult housing market. Even for families with a second moderate income and from privileged backgrounds, childcare costs here are causing great financial stress and insecurity, lost productivity at work, depletion of savings, utter inability to save for the future (e.g. retirement, home ownership, college), and even substantial debt accumulation. For those less fortunate, being a postdoc parent at MIT is completely unfeasible. Postdoc *Fellow* parent financial suffering is even more pronounced, as several benefits are lost as a consequence of their success: loss of the pre-tax Dependent Care FSA / owing tax on the portable childcare benefit, and increased family health insurance costs payed with post-tax dollars. In summary, the extreme costs incurred by MIT postdoc parents are not sustainable for attracting and retaining diverse and talented postdocs and are not conducive to postdocs thriving in their work at MIT. Beyond increasing childcare supplements for postdoc parents, it would also be great to see MIT publicly lobby in support of Massachusetts' Common Start Coalition (commonstartma dot org) and their efforts to make childcare accessible and affordable for Massachusetts Families."
5/12/2023 10:22:31,Postdoctoral Fellow,Biological Engineering,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,No,1,Yes,Yes,less than one month,Yes,I would like to take at least 4 weeks,100,No,No,5,4,Could subsidize the daycare tuition further. The cost is better than other daycare facilities but still could be better. Could increase salary for postdocs.,"The daycare here are great but the problem is that since we can't afford to live close to MIT, I have to commute with my child every day, while my spouse works from home. Because of this I can only have set hours to work at MIT based on the hours of childcare. If I was able to take a subsidy or money to pay for a daycare facility closer to my home then my spouse could do the drop-off/pickup, which would allow me to work longer or more flexible hours at MIT. "
5/12/2023 10:27:19,Postdoctoral Fellow,IMES,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,Yes,,,,,,,,,,,
5/12/2023 10:29:52,Postdoctoral Associate,NSE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,No,0,"I have not checked this part of policies yet, since I am not married",No,,No,Not applicable,,,,,,Not applicable,Not applicable
5/12/2023 10:32:34,Postdoctoral Fellow,Biology,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,Not applicable,0,Yes,,,,,,,,,,,
5/12/2023 10:40:19,Postdoctoral Associate,Sloan,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,No.,No,less than one month,No,"I took 6 months of parental leave, but not while being at MIT. For a second child, I would plan for 9-12 months to avoid stress",100,No,No,,,"Comparable to European countries, MIT could allow for an extension of the maternity / parental leave up to one year, if requested by the parents. Maybe at a lower percentage pay. My child was not accepting the bottle until 9 months of age. So, 3 additional months to my 6 months leave would have made our life enormously less stressful (and nobody wants stress when having a baby). Plus, my work was not efficient in these 3 months anyway.","How about part-time post-doc positions for parents who would like to take care of their children e.g. a day per week or two half-days? However, it may get even more difficult with the financial situation then.
I very much appreciate the flexible child care subsidies.
I am also very happy about the flexibility I have with the working hours and the possibility for home-office, allowing me to work when the child is sleeping.
The financial situation as a post-doc with children is quite challenging, especially since life in the Boston area is so much more expensive than in most places on earth. So, maybe a bit higher salaries for post-docs with kids could be an idea."
5/12/2023 10:45:45,Postdoctoral Fellow,Chemistry ,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,No,0,"Would not feel comfortable being a parent on a postdoc salary, even if MIT pays higher relative to peers",,,,,,,,,,I wouldn't have kids at that stage of life but probably free child daycare would be a huge plus given how long lab hours can be.,
5/12/2023 10:58:07,Postdoctoral Fellow,CSAIL,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,Currently on waitlist,less than one month,Yes,2.5 weeks,100,No,Yes - they help out at home,5,3,More explicit guidance on parental leave for postdoc fellows,
5/12/2023 11:00:16,Research Scientist,BCS,Combination of Both,No,No,0,no,No,,No,,,No,No,,,,There should be no extra compensation for employees based on their personal decisions like having a child.
5/12/2023 11:02:28,Postdoctoral Fellow,EAPS,Combination of Both,Yes,No,1,No,No,1-3 months,Yes,,,No,No,,,The new Portable Child Care Subsidy benefit is very helpful. Strengthening supports for families that can't have their children in the MIT daycare centers for one reason or another is a good development and worth continuing.,The MIT daycare centers are great. But we ultimately had to withdraw our child from an MIT daycare center because it could not support his special needs. At the time there was no Portable Child Care Subsidy (PCCS). So we went from having a lot of great support to no support at the same time that we learned our child faced special challenges and was going to need more support than most children. This nearly ended my work at MIT and my career in science. Any way that MIT can support families of children with special needs will go a long way towards guarding against outcomes like that. The new PCCS program is a great start.
5/12/2023 11:11:57,Postdoctoral Associate,Chemical Engineering,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,"Yes, but because of the low salary, not because of aspects of parental leave. ",No,,No,,,No,No,,,,
5/12/2023 11:21:40,Postdoctoral Associate,Koch Institute,Combination of Both,No,Not applicable,0,,,,,,,,,,,,
5/12/2023 11:21:49,Postdoctoral Associate,Biological Engineering,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,No,No,,No,2.5 weeks,100,No,No,5,5,"Other than an increase in salary, nothing.",
5/12/2023 11:33:49,Postdoctoral Fellow,Bio / Koch Institute,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,No,1,No,No,,Yes,-,,No,Yes - they offer financial support,3,3,Make Daycare affordable for Postdocs,Daycare is not affordable as a postdoc.
5/12/2023 11:51:04,Postdoctoral Fellow,Cee,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,No,0,"Yes, I basically have no benefits",No,,Yes,,,No,No,,,Provide full paid benefits from the university for postdoc fellows (the UC system does this),
5/12/2023 11:51:21,Postdoctoral Associate,RLE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,No,0,No,,,,,,,,,,,
5/12/2023 11:53:30,Postdoctoral Associate,Department of biological engineering,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,I had my child before coming to MIT,Yes,longer than 12 months,Yes,Was not at MIT or the US at that time (9 months),100,Yes,No,,,Provide enough childcare spots.,
5/12/2023 11:54:43,Research Scientist,CSAIL,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",I'm expecting / My partner is expecting a baby,No,1,MIT's poor childcare policies have caused us to delay starting a family until my partner could secure employment that had more fair policies.,Currently on waitlist,7-9 months,Yes,"I would like to take 6 months, but the MIT policies forbid this.",,No,No,5,1,"MIT's parental leave is shameful. 4 weeks and then we pay with sick time? The state formula is a significant pay cut that families in one of the most expensive cities in the world cannot afford. Moreover, the discrimination against fathers is abhorrent. Why would the time that fathers have with their children matter less than the time that mothers have?","MIT is supposed to be a leader in creating a more equitable society, yet, almost every country offers a more reasonable maternity and paternity leave. As do most major corporations. Google offers 18-24 weeks, Microsoft offers 22 weeks, Amazon 20, Uber 18, Meta, Adobe 26, Salesforce 26, etc.

MIT's policies are borderline abusive of mothers, fathers, and their children, and far out of step with the progressive norm."
5/12/2023 12:01:11,Postdoctoral Associate,Center for Real Estate,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,2,Yes,No,,Yes,2 weeks,100,No,Yes - they help out both financially and at home,4,2,Better support for childcare,Daycare cost is prohibitively high and financial support should be extended to the case where spouse is not working (especially for the cases where there are more than 1 kid)
5/12/2023 12:04:07,Postdoctoral Associate,AeroAstro,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,Yes,No,,No,,,No,No,1,1,Provide better financial support. It is absolutely not possible to be a postdoc or research engineer at MIT while being an international person and living off of MIT salary. ,"Please take feedback from research staff at regular intervals about their financial and social well-being. It is not sensible to compare MIT with for-profit corporations in Boston/Cambridge area, but at least pay your research staff enough so that they can live respectfully in and around Boston/Cambridge area. "
5/12/2023 12:04:22,Postdoctoral Associate,ChemE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,No,No,,Yes,,,No,Yes - they offer financial support,,,Partial kindergarten funding when one parent is not working.,
5/12/2023 12:16:20,Postdoctoral Associate,PSFC,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,yes,,,,,,,,,,,
5/12/2023 12:31:41,Postdoctoral Fellow,Biology,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,Not applicable,0,No,,,,,,,,,,,
5/12/2023 12:36:06,Postdoctoral Associate,CEE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,Yes,Yes,longer than 12 months,Yes,4 weeks,100,No,Yes - they offer financial support,5,3,Better subsidized daycare costs,Daycare at MIT takes too long to get a spot and is WAY too expensive 
5/12/2023 12:37:57,Postdoctoral Fellow,Picower Institue for Learning and Memory,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,Not applicable,0,yes,No,,Yes,,,,,,,More support and reasonbale prices given the postdoc salary,
5/12/2023 12:42:59,Postdoctoral Fellow,KI,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,2,No,No,,Yes,,,Yes,Yes - they offer financial support,5,4,,Daycare is very expensive here.
